property_name,propery_id,breadcrumbs,price,image_url,description,location,property_type,bathrooms,bedrooms
"3 bhk semi furnished flat for rent near mankave, calicut",1762005372,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,3 bhk semi furnished flat for rent near mankave, calicut","{'amount': '25,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/dd82fbnio66b1-IN/image,https://apollo.olx.in:443/v1/files/1mgjbrfpilog3-IN/image,https://apollo.olx.in:443/v1/files/7jogf2dvf01m2-IN/image,https://apollo.olx.in:443/v1/files/c906nr98lwtk2-IN/image,https://apollo.olx.in:443/v1/files/3y853xbhysu1-IN/image,https://apollo.olx.in:443/v1/files/v910970rqp6x1-IN/image",3 bhk  semi furnished flat for rent near LULU mall and MIMS hospital calicut,"Mankavu,Kozhikode,Kerala",Builder Floors,3,3
3 BHK FURNISHED  FLAT FOR RENT CALICUT,1755818011,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,3 BHK FURNISHED  FLAT FOR RENT CALICUT","{'amount': '32,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/b72bic1dfkht2-IN/image,https://apollo.olx.in:443/v1/files/8bjy38vpm2w92-IN/image,https://apollo.olx.in:443/v1/files/sdq0efr0apf7-IN/image,https://apollo.olx.in:443/v1/files/dlyncnc5kdh4-IN/image,https://apollo.olx.in:443/v1/files/o0judx375zc62-IN/image","3 BHK FURNISHED FLAT FOR RENT NEAR NADAKAVE,CALICUT

Amenities:-

Gym
Swimming pool
Grand lobby
Conference room
Day care
Open area
Yoga centre
Association hall
Home cinema theatre
Childrens play area
Saddle court
Large space for visitors car parking 
Guest room



Rent 30000+MNC","Nadakkavu,Kozhikode,Kerala",Builder Floors,3,3
"2 BHK furnished brand new flat for rent near karapparamb, calicut",1762675354,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,2 BHK furnished brand new flat for rent near karapparamb, calicut","{'amount': '30,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/zqt6e4b0im3f3-IN/image,https://apollo.olx.in:443/v1/files/a8iua2xft13d2-IN/image,https://apollo.olx.in:443/v1/files/10pickfi26zk1-IN/image,https://apollo.olx.in:443/v1/files/wj0ektc4n95j2-IN/image","2 bhk Furnished brand new flat for rent near karapparamb

Aminites :-
Gym
Swaming pool
Conference room
Party hall
Guest room
Guest parking
24 hrs security and power backup
Waste management","Karaparamba,Kozhikode,Kerala",Builder Floors,2,2
"3 BHK FURNISHED FLAT FOR RENT NEAR POTTAMAL ,CALICUT",1762138478,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3 BHK FURNISHED FLAT FOR RENT NEAR POTTAMAL ,CALICUT","{'amount': '27,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/pl4lsnqo7dgh1-IN/image,https://apollo.olx.in:443/v1/files/wjl4jk8l98oj1-IN/image,https://apollo.olx.in:443/v1/files/eobfetdjlv1d3-IN/image,https://apollo.olx.in:443/v1/files/064rm2lzw2dq2-IN/image,https://apollo.olx.in:443/v1/files/tolmslydvbt12-IN/image,https://apollo.olx.in:443/v1/files/avi3u2pmpdb31-IN/image,https://apollo.olx.in:443/v1/files/7z6ppwrug8kl1-IN/image","3 bhk Furnished flat for rent near kottoli and pottamal calicut

Near by:-
Baby memorial hospital
Iqrha hospital
Civil station
Malabar hospital
Cyber park
Calicut bypass

Rent 25000+mnc
Advance 1Lakh","Pottammal,Kozhikode,Kerala",Builder Floors,3,3
3 bhk House for Rent at poovangal,1764547122,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Poovangal,3 bhk House for Rent at poovangal","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/jibh5j877bhy-IN/image,"3 bhk House for Rent at poovangal 

1200 sqft
3 bhk atteched
Well water
Car parking
Kitchen

Rent- 15000

More details
Endless properties
2 nd floor kairali complex
Thondayad, calicut","Poovangal,Kozhikode,Kerala",Houses & Villas,2,3
5 BHK FULLY FURNISHED HOUSE FOR RENT AT CHEVAYOOR,1764544640,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayur,5 BHK FULLY FURNISHED HOUSE FOR RENT AT CHEVAYOOR","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/th3see2t2kqh2-IN/image,"5 BHK FULLY FURNISHED HOUSE FOR RENT AT CHEVAYOOR

5 bhk
Kitchen cabinet
Car parking
Bed and cott
Well water

Rent- 30000
Advance - 6 month Rent

More details 
Endless properties 
2ndfloor Kairali Complex
Thondayad.  Calicut","Chevayur,Kozhikode,Kerala",Houses & Villas,3,3
3BHK Semi Furnished Flat For Rent at  Calicut Beach(SR),1767020347,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,3BHK Semi Furnished Flat For Rent at  Calicut Beach(SR)","{'amount': '33,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/pkzn6gdi4bkt2-IN/image,"Are you looking for a Flat ?

Here it is !

3Bhk Semi Furnished Flat Available For Rent ,

1600 sq.ft Semi Furnished Flat for Rent at Calicut Beach

Rent : 30,000/-

Maintenance : 3500/-

Total Rent : Rs.33,500/ -

It hosts all the amenities and all the facilities are nearby the city.

*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-

* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-

* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-

*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-

* kottuli ,2bhk , 1000sq.ft,semi , 23000/-

*calicut Beach , 3bhk, 1600sq.ft,26000/-

* YMC , 1bhk, 700sq.ft semi,25000/-

* methoott Thazham 2bhk 800sq.ft semi , 16500/-

*pottammal, 3bhk , furnshed,25000/-

* East Hill, 3Bhk, Semi Furbished,23000/-

""Note : Image shown are only for business purpose , actual building / Land may differ.""

For More details, Contact:

Big Deals Realtors

4th Floor , Hilite Business Park , Palazhy - Calicut -

About Us :

Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.

We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.

We Provide the following Specialised Features :

* Hassle free Documentation

* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property

* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","Calicut Beach,Kozhikode,Kerala",Apartments,semi,3
3Bhk fully furnished Apartment for Rent at pottammal,1754944761,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3Bhk fully furnished Apartment for Rent at pottammal","{'amount': '50,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/gaw83n6o7nqs2-IN/image,https://apollo.olx.in:443/v1/files/azgjjbzlyayj1-IN/image,https://apollo.olx.in:443/v1/files/vkwhfumndydp-IN/image","3Bhk fully furnished Apartment For Rent at pottammal 

◾3Bhk attached
◾1600 sqft
◾bed with cott
◾ sofa
◾ Table with chairs
◾wardrobe
◾Modular kitchen

Aminities
◾ swimming pool
◾ children's play area
◾ 24 hour security 
◾ water back up
◾power back up
◾ Cctv

Rent-45000 +5000 mnc

More Details
Endless properties
2nd floor Kairali complex
Thondayad","Pottammal,Kozhikode,Kerala",Apartments,3,3
5BHK Semi Furnished Flat For Rent at  Calicut Beach (SR),1767019722,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,5BHK Semi Furnished Flat For Rent at  Calicut Beach (SR)","{'amount': '33,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/4pgtys719vq81-IN/image,"Are you looking for a Flat ?

Here it is !

5 Bhk  Semi Furnished Flat Available For Rent ,

1600 sq.ft Semi Furnished Flat for Rent at   Calicut  Beach

Rent : 30,000/-

Maintenance : 3500/-

Total Rent : Rs.33,500/ -

It hosts all the amenities and all the facilities are nearby the city.

*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-

* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-

* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-

*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-

* kottuli ,2bhk , 1000sq.ft,semi , 23000/-

*calicut Beach , 3bhk, 1600sq.ft,26000/-

* YMC , 1bhk, 700sq.ft semi,25000/-

* methoott Thazham 2bhk 800sq.ft semi , 16500/-

*pottammal, 3bhk , furnshed,25000/-

* East Hill, 3Bhk, Semi Furbished,23000/-

""Note : Image shown are only for business purpose , actual building / Land may differ.""

For More details, Contact:

Big Deals Realtors

4th Floor , Hilite Business Park , Palazhy - Calicut -

About Us :

Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.

We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.

We Provide the following Specialised Features :

* Hassle free Documentation

* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property

* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","Calicut Beach,Kozhikode,Kerala",Apartments,5,5
5 bhk House for Rent at Thondayad,1764540231,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,5 bhk House for Rent at Thondayad","{'amount': '26,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/kh6k8iefaokq-IN/image,"5 bhk house for Rent at Thondayad

5 bhk, Kitchen cabinet, car parking, well water etc 

Rent - 26000

More details
Endless properties
2 nd floor kairali complex
Thondayad, calicut","Thondayad,Kozhikode,Kerala",Houses & Villas,4,5
Kalyani krishna,1764207936,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,Kalyani krishna","{'amount': '15,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/70mmlii59ed4-IN/image,https://apollo.olx.in:443/v1/files/2n57utn67z8x2-IN/image,https://apollo.olx.in:443/v1/files/xdqq9dvblw6f3-IN/image,https://apollo.olx.in:443/v1/files/2i46ybgpdv0q-IN/image,https://apollo.olx.in:443/v1/files/ca3hoaicjzmq-IN/image,https://apollo.olx.in:443/v1/files/0nvygomsfvlo1-IN/image,https://apollo.olx.in:443/v1/files/nikgbts6csoz1-IN/image,https://apollo.olx.in:443/v1/files/vlp9g6hpb7jl-IN/image,https://apollo.olx.in:443/v1/files/w2svi46rckp33-IN/image","Apartment 1st floor chevayur.walkable distance to presentation school and chevayur junction. Mini lorry accessible. 1.5km to medical college. Ample well water. Temple, mosque and church in walkable distance.family and working bachelors allowed. STUDENTS NOT ALLOWED.","Chevayoor,Kozhikode,Kerala",Apartments,3,3
Sree Pottammal,1764531561,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,Sree Pottammal","{'amount': '20,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/68smh8chj6rk-IN/image,https://apollo.olx.in:443/v1/files/d42jhtfug2np1-IN/image,https://apollo.olx.in:443/v1/files/yufg7kcxxjg5-IN/image","ladies only located middle of kotuli pottamel
working ladies medical students bank staff IT professional
 Normal furniture avilable(T/C) Apply buyer's only","Pottammal,Kozhikode,Kerala",Apartments,2,3
3 BHK Fully-furnished Apartment,1765923638,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Poovangal,3 BHK Fully-furnished Apartment","{'amount': '37,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/9g5h47qmt7ge3-IN/image,https://apollo.olx.in:443/v1/files/1h0t46j0mpae3-IN/image,https://apollo.olx.in:443/v1/files/6ql56zup4nlk-IN/image,https://apollo.olx.in:443/v1/files/lux5n8bqek7p1-IN/image,https://apollo.olx.in:443/v1/files/c0iq4zho158q3-IN/image,https://apollo.olx.in:443/v1/files/dpmv8x2g3p6x1-IN/image,https://apollo.olx.in:443/v1/files/866moovsbd661-IN/image,https://apollo.olx.in:443/v1/files/ckzb9sp8segs3-IN/image,https://apollo.olx.in:443/v1/files/2dky3943u7b02-IN/image,https://apollo.olx.in:443/v1/files/zkx69rdg7e8m1-IN/image,https://apollo.olx.in:443/v1/files/e9nqwu0m3qft2-IN/image,https://apollo.olx.in:443/v1/files/d8zsc8duv9gf3-IN/image","A fully-furnished new 3BHK apartment at Landmark millennia centre. Includes ACs in all the bedrooms, water heater, curtains/blinds, storage spaces, lights, fans, exhaust fans etc. (pics). Located at Kodal Nadakkavu, Pantheerankavu, Kozhikode. Balcony spans livng room, kitchen and a bedroom. Contact via email (sandeepsurin123 at gmail dot com) or WhatsApp.","Poovangal,Kozhikode,Kerala",Apartments,3,3
3 bhk fully furnished flat for Rent at Mankavu,1764536890,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,3 bhk fully furnished flat for Rent at Mankavu","{'amount': '31,000', 'currency': '₹'}","https://apollo.olx.in:443/v1/files/a3qugjjm5yra1-IN/image,https://apollo.olx.in:443/v1/files/bemsmw3hc98z2-IN/image,https://apollo.olx.in:443/v1/files/jwyse2hxzwy2-IN/image,https://apollo.olx.in:443/v1/files/n877gvkyum552-IN/image","REDY TO OCCUPY BRAND NEW FLAT FOR RENT AT MANKAVU.

◾3bhk attached 
◾1525 sqft
◾24hrs security 
◾Children's Play area
◾Lift
◾Covered Car parking 
◾Centralized gas
◾Power back up 
◾Waterback up

Distance  from  Main Location to Apartment 

◾1.5 KM from Gokulam public school 
◾1.5 KM from upcoming LULU Convention center 
◾2 KM From MIMS Hospital   and 4 KM.from  Baby Memorial Hospital 
◾4 KM From Railway station 
◾4.5 KM From kozhikode Beach 

RENT - 35000 including mnc

More details 
Endless properties 
2ndfloor Kairali Complex
Thondayad.  Calicut","Mankavu,Kozhikode,Kerala",Apartments,3,3
NEW UPSTAIRE FOR RENT NEAR MIMS HOSPITAL CALCUT,1758903948,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,NEW UPSTAIRE FOR RENT NEAR MIMS HOSPITAL CALCUT","{'amount': '16,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6dsofdd2c4ks1-IN/image,"NEW UPSTAIRE FOR RENT NEAR MIMS HOSPITAL CALCUT


ADVANCE 50000
RENT 16000

MOB  7      3      0      6   6     8   1    1  0   6","Govindapuram,Kozhikode,Kerala",Houses & Villas,2,2
3Bhk Semi furnished Apartment for Rent At pottammal,1760110435,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3Bhk Semi furnished Apartment for Rent At pottammal","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6cp83amb0c8i1-IN/image,"3 bhk semi furnished Apartment for Rent At pottammal 

◾3bhk attached
 ◾1000sqft
 ◾Modular kitchen
 ◾Balcony 
◾Warddrobs 

Aminites

◾Power backup
◾24 hrs security
◾Water back up
◾Gym
◾Car parking

Rent-25000 including mnc

More details
Endless properties
2 nd floor kairali complex
Thondayad. Calicut","Pottammal,Kozhikode,Kerala",Apartments,3,3
"2 bhk apartment near cyber park, thondayad",1767397159,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2 bhk apartment near cyber park, thondayad","{'amount': '13,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/mr1k6o0r8d5t-IN/image,"2 bhk apartment near cyber park, thondayad","Thondayad,Kozhikode,Kerala",Apartments,2,2
